"Control Number","Control Title","Implementation Status","Responsible Entities","Implementation Description","Assessment Procedures"
"AC-14","Permitted Actions Without Identification","Implemented","Platform Team / Service Mesh","Istio PeerAuthentication set to STRICT mode cluster-wide prevents any unauthenticated service-to-service communication. All mesh traffic requires valid mTLS certificates. Non-mesh traffic is blocked by default via Kyverno policies requiring Istio sidecar injection labels on all tenant namespaces. Evidence artifacts: platform/core/istio/helmrelease-istiod.yaml (PeerAuthentication configured in HelmRelease values). Continuous monitoring: Istio telemetry reports mTLS status for all connections. Prometheus metrics track non-mTLS connection attempts.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AC-17","Remote Access","Implemented","Platform Team / Identity Management; Platform Team / Service Mesh; Platform Team / Infrastructure Automation","All remote access to management interfaces (Grafana, Harbor, NeuVector, Kiali) is routed through Keycloak SSO with MFA enforcement. Istio ingress gateway provides TLS termination for all external traffic. SSH access to cluster nodes is hardened via Ansible STIG role (key-only auth, restricted ciphers, login banners, session timeouts). Evidence artifacts: platform/addons/keycloak/helmrelease.yaml, platform/core/istio/helmrelease-gateway.yaml, infrastructure/ansible/roles/os-hardening/tasks/sshd.yml. Continuous monitoring: Keycloak authentication logs forwarded to Loki. SSH login attempts logged via auditd and forwarded to Loki.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AC-2","Account Management","Implemented","Platform Team / Identity Management","Keycloak provides centralized identity management with SSO/OIDC for all platform UIs. User accounts are managed through Keycloak realms with group-based access control. Account provisioning, modification, and deprovisioning are tracked via Keycloak audit events. Supports LDAP/AD federation for enterprise identity integration. Inactive accounts are automatically disabled based on configurable session and account policies. Evidence artifacts: platform/addons/keycloak/helmrelease.yaml (realm configured in HelmRelease values). Continuous monitoring: Keycloak audit events forwarded to Loki via Alloy. Grafana dashboards show account lifecycle events.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AC-3","Access Enforcement","Implemented","Platform Team / Policy Enforcement; Platform Team / Service Mesh; Platform Team / Kubernetes Operations","Access enforcement operates at three layers: (1) Kubernetes RBAC with namespace-scoped Roles and ClusterRoles mapped to Keycloak groups via OIDC, (2) Istio AuthorizationPolicy CRDs controlling service-to-service communication based on SPIFFE identity, namespace, and request attributes, (3) Kyverno policies isolating tenant namespaces and preventing cross-tenant resource creation or modification. Evidence artifacts: platform/core/kyverno/helmrelease.yaml, platform/core/istio/helmrelease-istiod.yaml (AuthorizationPolicy configured in HelmRelease values), apps/tenants/_base/rbac.yaml, apps/tenants/_base/kustomization.yaml. Continuous monitoring: Kubernetes audit logs capture all RBAC decisions. Istio access logs record all AuthorizationPolicy evaluations. Kyverno PolicyReports track policy enforcement actions.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AC-4","Information Flow Enforcement","Implemented","Platform Team / Service Mesh; Platform Team / Policy Enforcement; Platform Team / Runtime Security","Information flow is controlled through: (1) Istio mTLS STRICT mode encrypting and authenticating all in-cluster traffic, (2) Kubernetes NetworkPolicies with default-deny in all namespaces and explicit allow rules for required traffic paths, (3) Kyverno policies requiring NetworkPolicies in every namespace and restricting egress to approved destinations, (4) NeuVector Layer 7 DLP sensors detecting and blocking sensitive data patterns in network traffic. Evidence artifacts: platform/core/istio/helmrelease-istiod.yaml (PeerAuthentication configured in HelmRelease values), apps/tenants/_base/network-policies/default-deny.yaml, apps/tenants/_base/network-policies/allow-base.yaml, policies/custom/require-network-policies.yaml. Continuous monitoring: Istio telemetry tracks all traffic flows. NeuVector visualizes network connections and alerts on policy violations. Kyverno background scanning reports namespaces without NetworkPolicies.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AC-6","Least Privilege","Implemented","Platform Team / Policy Enforcement; Platform Team / Kubernetes Operations","Least privilege is enforced at every layer: (1) RBAC roles scoped to individual namespaces, (2) Pod security contexts enforce runAsNonRoot, readOnlyRootFilesystem, drop ALL capabilities, and seccompProfile RuntimeDefault, (3) automountServiceAccountToken set to false by default, (4) Each workload uses a dedicated ServiceAccount, (5) Kyverno ClusterPolicies enforce these requirements on all pods in tenant namespaces. Evidence artifacts: policies/custom/require-security-context.yaml, policies/restricted/require-run-as-nonroot.yaml, policies/restricted/require-drop-all-capabilities.yaml, apps/tenants/_base/rbac.yaml. Continuous monitoring: Kyverno PolicyReports flag pods not meeting least privilege requirements. Background scanning reports existing non-compliant workloads.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AC-6(1)","Authorize Access to Security Functions","Implemented","Platform Team / GitOps Operations; Platform Team / Policy Enforcement","Flux RBAC restricts platform namespace modifications to the flux-system ServiceAccount only. Kyverno policies protect platform resources (namespaces, CRDs, system configurations) from unauthorized modification by tenant users. Only the GitOps pipeline can modify platform-level resources. Evidence artifacts: platform/flux-system/gotk-sync.yaml, policies/custom/require-labels.yaml. Continuous monitoring: Kubernetes audit logs capture all attempts to modify platform resources. Kyverno violations are reported as PolicyReport entries.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AC-6(10)","Prohibit Non-Privileged Users from Executing Privileged Functions","Implemented","Platform Team / Policy Enforcement","Kyverno enforces Pod Security Standards restricted profile: disallow-privileged-containers prevents running as privileged, disallow-privilege-escalation blocks allowPrivilegeEscalation, require-run-as-nonroot enforces non-root execution, and require-drop-all-capabilities ensures no Linux capabilities are granted. Evidence artifacts: policies/baseline/disallow-privileged.yaml, policies/restricted/disallow-privilege-escalation.yaml, policies/restricted/require-run-as-nonroot.yaml, policies/restricted/require-drop-all-capabilities.yaml. Continuous monitoring: Kyverno PolicyReports and background scanning continuously validate all workloads against restricted profile.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AC-6(9)","Auditing Use of Privileged Functions","Implemented","Platform Team / Logging & Audit; Platform Team / Service Mesh","All privileged operations are logged: (1) Kubernetes API audit policy captures authentication, authorization, and CRUD on all resources with user identity, (2) Istio access logs record all service mesh traffic with source/destination SPIFFE identity, (3) OS-level auditd captures privileged command execution and file access on all nodes. Evidence artifacts: platform/core/logging/helmrelease-alloy.yaml, platform/core/istio/helmrelease-istiod.yaml, infrastructure/ansible/roles/os-hardening/tasks/auditd.yml. Continuous monitoring: Grafana dashboards show privileged operation activity. Prometheus alerts on unusual privileged access patterns.","Verify access control mechanisms via RBAC audit, Kyverno PolicyReport review, and Istio AuthorizationPolicy inspection. Evidence: kubectl get clusterrolebindings, kubectl get policyreport -A, kubectl get authorizationpolicies -A."
"AU-12","Audit Generation","Implemented","Platform Team / Logging & Audit; Platform Team / Infrastructure Automation","Audit generation is implemented at every layer: (1) All platform components output structured JSON logs to stdout/stderr, (2) Alloy DaemonSet runs on every node to collect container logs and node journals, (3) Kubernetes API server audit logging enabled by default in RKE2 with comprehensive audit policy, (4) OS-level auditd configured via Ansible with rules for privileged operations, (5) Istio sidecar proxies generate access logs for all mesh traffic. Evidence artifacts: platform/core/logging/helmrelease-alloy.yaml, infrastructure/ansible/roles/os-hardening/tasks/auditd.yml. Continuous monitoring: Prometheus monitors Alloy DaemonSet health and log ingestion rates. Alerts fire when audit generation stops.","Verify audit logging pipeline by querying Loki for recent audit events, checking Alloy DaemonSet pod status, and reviewing Grafana audit dashboards. Evidence: Loki query results, Alloy pod health, Grafana dashboard screenshots."
